Date,Tweet_Text,Source,User_ID,Lat,Lng
Fri Dec 06 08:35:09 +0000 201,"My parents everyone \ud83d\ude06\ud83d\ude06 abah dgn mama ade event dkt hote, mcm biasa la abah kne tgu mama bsiap \ud83d\ude06 https:\/\/t.co\/zw0rSpOmob"",display_text_range:[0,96]","\u003ca href=""http://twitter.com/download/android"" rel=""nofollow""\u003eTwitter for Android\u003c/a\u003e",1067415775.0,103.630391,1.472844
Fri Dec 06 08:35:17 +0000 201,RT @larutadelclima: Join us today: Side Event on Public Participation and Climate Action at @COP25CL We will be talking with friends from @\u2026,"\u003ca href=""https://mobile.twitter.com"" rel=""nofollow""\u003eTwitter Web App\u003c/a\u003e",118105610.0,-3.703508,40.477795
Fri Dec 06 08:35:18 +0000 201,"Ngopi n cemal cemil di sini dul, sambil nunggu event 2 jam lagi. Mayanlah buat kelarin satu artikel.\nAlhamdulillah\u2026 https:\/\/t.co\/qC6RhUkdfi"",display_text_range:[0,140]","\u003ca href=""http://twitter.com/download/android"" rel=""nofollow""\u003eTwitter for Android\u003c/a\u003e",2904247531.0,106.821591,-6.221943
Fri Dec 06 08:35:28 +0000 201,"RT @paul_blkfox737: \u6c17\u3065\u3051\u3070\u6765\u9031\u3067\u3059\uff01\n\u307e\u3060\u53c2\u52a0\u8868\u660e\u3057\u3066\u306a\u3044\u65b9\u306f\u304a\u65e9\u3081\u306b\uff01\n\""kameda vs paul medic game\""\n12/6 BLKFOX\u6df1\u591c\u4e88\u7d04\ud83d\udd3b\nhttps://t.co/6ndoX3rNEi\n12/8 SISTER\u4e88\u7d04\ud83d\udd3b\nhttps:/\u2026","\u003ca href=""http://twitter.com/download/iphone"" rel=""nofollow""\u003eTwitter for iPhone\u003c/a\u003e",1.16e+18,139.33693799999998,35.733667
Fri Dec 06 08:35:28 +0000 201,RT @RMankadMD: #EuroEcho doing the faculty dinner event right! A meal in #palaisferstel with legends in #echocardiography - @EACVIPresident\u2026,"\u003ca href=""http://twitter.com/download/iphone"" rel=""nofollow""\u003eTwitter for iPhone\u003c/a\u003e",587765631.0,16.379846,48.22012
Fri Dec 06 08:35:28 +0000 201,I\u2019m writing an essay about memory.\n\nThe way it merges episodic events that otherwise wouldn\u2019t make sense\n\nExcept th\u2026 https://t.co/4rlQZbSgqm,"\u003ca href=""http://twitter.com/download/iphone"" rel=""nofollow""\u003eTwitter for iPhone\u003c/a\u003e",278663583.0,-114.03115,46.8791
Fri Dec 06 08:35:30 +0000 201,"Today's session: \n\nInsight with Eminent Novelist &amp; Journalist @mohammedhanif \n\n#urduconference\n\nEvent:\u2026 https://t.co/DZkAVBmrGD,display_text_range:[0,140]","\u003ca href=""http://twitter.com/download/iphone"" rel=""nofollow""\u003eTwitter for iPhone\u003c/a\u003e",4867517685.0,67.042194,24.905076
Fri Dec 06 08:35:34 +0000 201,"#HipHopRap NF - The Search Tour at #TheGreekTheatre See Details: https://t.co/atezNqJqCK https://t.co/6N02phl4Ur,display_text_range:[0,88]","\u003ca href=""https://www.nevermissevents.com"" rel=""nofollow""\u003eNeverMissEvents-Los Angles\u003c/a\u003e",1e+18,-118.411907,34.020789
Fri Dec 06 08:35:36 +0000 201,"RT @Leigh_Kamolins: Feel honoured to have been invited to share my thoughts on ranking, their role the quality assurance framework and to\u2026""","\u003ca href=""https://mobile.twitter.com"" rel=""nofollow""\u003eTwitter Web App\u003c/a\u003e",113619436.0,73.07682,33.712431
Fri Dec 06 08:35:37 +0000 201,"RT @RamsByTheHorns: I don't know whether to laugh or cry when a multi-billion rand major corporate turns around and says: \""oh we thought yo\u2026","\u003ca href=""http://twitter.com/download/android"" rel=""nofollow""\u003eTwitter for Android\u003c/a\u003e",1480279364.0,27.968098,-26.276138
